"OBJECTID","nom_rio"
28119,"Tram de_( BARRANC DE L'ARGILA )"
28121,"BARRANC DE RAUDOR"
28122,"Tram de_( BARRANC DE RAUDOR )"
28123,"Tram de_( BARRANC DE L'ARGILA )"
28124,"Tram de_( BARRANC DE L'ARGILA )"
28125,"Tram de_( BARRANC DE L'ARGILA )"
28126,"Tram de_( BARRANC DE L'ARGILA )"
28127,"Tram de_( BARRANC DE L'ARGILA )"
28128,"Tram de_( RIO EBRO )"
28130,"BARRANC DE LES FONTS"
28132,"Tram de_( BARRANC DE LES FONTS )"
28133,"Tram de_( BARRANC DE LES FONTS )"
28135,"BARRANC DE LES VALLS"
28136,"Tram de_( BARRANC DE LES VALLS )"
28137,"Tram de_( BARRANC DE LES VALLS )"
28139,"BARRANC DEL MORELLA"
28140,"Tram de_( BARRANC DEL MORELLA )"
28145,"BARRANC DELS MASETS"
28146,"Tram de_( BARRANC DELS MASETS )"
28147,"Tram de_( RIO EBRO )"
28148,"Tram de_( RIO EBRO )"
28150,"Tram de_( RIO EBRO )"
28151,"BARRANC DE SANT JORDI"
28152,"Tram de_( BARRANC DE SANT JORDI )"
28153,"Tram de_( BARRANC DE SANT JORDI )"
28154,"Tram de_( RIO EBRO )"
28155,"RIU DE LES CANALETES"
28157,"Tram de_( RIU DE LES CANALETES )"
28158,"Tram de_( RIU DE LES CANALETES )"
28159,"Tram de_( RIU DE LES CANALETES )"
28160,"Tram de_( RIU DE LES CANALETES )"
28163,"Tram de_( RIU DE LES CANALETES )"
28164,"Tram de_( SIN NOMBRE )"
28165,"Tram de_( RIU DE LES CANALETES )"
28167,"Tram de_( RIU DE LES CANALETES )"
28169,"Tram de_( RIU DE LES CANALETES )"
28178,"BARRANC DE LA SOLSIDA"
28179,"Tram de_( BARRANC DE LA SOLSIDA )"
28180,"RIU DE LA GUARDIOLA"
28182,"Tram de_( RIU DE LA GUARDIOLA )"
28183,"Tram de_( RIU DE LES CANALETES )"
28196,"Tram de_( RIU DE LES CANALETES )"
28199,"Tram de_( RIU DE LES CANALETES )"
28201,"BARRANC DEL CLOSET"
28202,"Tram de_( BARRANC DEL CLOSET )"
28203,"Tram de_( RIU DE LES CANALETES )"
28205,"RIU D'EN PIQUER"
28206,"BARRANC DE L'AVELLANAR"
28207,"Tram de_( BARRANC DE L'AVELLANAR )"
28208,"Tram de_( BARRANC DE L'AVELLANAR )"
28209,"Tram de_( SIN NOMBRE )"
28210,"Tram de_( RIU D'EN PIQUER )"
28211,"Tram de_( SIN NOMBRE )"
28212,"Tram de_( SIN NOMBRE )"
28213,"Tram de_( RIU DE LES CANALETES )"
28214,"Tram de_( RIO EBRO )"
28215,"Tram de_( RIO EBRO )"
28217,"BARRANC DE VALLIPLANA"
28218,"Tram de_( BARRANC DE VALLIPLANA )"
28219,"BARRANC DEL RACO DEL MAS"
28220,"Tram de_( BARRANC DEL RACO DEL MAS )"
28221,"Tram de_( BARRANC DEL RACO DEL MAS )"
28222,"Tram de_( SIN NOMBRE )"
28223,"BARRANC DE LES ESPLANELLES"
28224,"Tram de_( BARRANC DE LES ESPLANELLES )"
28225,"Tram de_( BARRANC DEL RACO DEL MAS )"
28226,"Tram de_( BARRANC DEL RACO DEL MAS )"
28227,"Tram de_( BARRANC DEL RACO DEL MAS )"
28228,"Tram de_( BARRANC DEL RACO DEL MAS )"
28229,"Tram de_( BARRANC DEL RACO DEL MAS )"
28231,"Tram de_( RIO EBRO )"
28233,"BARRANC DE LLEMASQUERES"
28234,"Tram de_( BARRANC DE LLEMASQUERES )"
28236,"BARRANC DE LA FONT D'EN RELLA"
28237,"Tram de_( BARRANC DE LA FONT D'EN RELLA )"
28240,"BARRANC DELS BOUS"
28241,"Tram de_( BARRANC DELS BOUS )"
28242,"Tram de_( BARRANC DELS BOUS )"
28244,"BARRANC DE GANDESA"
28245,"Tram de_( BARRANC DE GANDESA )"
28246,"Tram de_( BARRANC DE GANDESA )"
28247,"Tram de_( RIO EBRO )"
28248,"Tram de_( RIO EBRO )"
28249,"BARRANC DE SEGURA"
28250,"Tram de_( BARRANC DE SEGURA )"
28251,"Tram de_( BARRANC DE SEGURA )"
28254,"Tram de_( RIO EBRO )"
28255,"BARRANC DEL NEGRER"
28256,"Tram de_( BARRANC DEL NEGRER )"
28262,"RIERA DEL COMTE"
28264,"Tram de_( RIERA DEL COMTE )"
28265,"BARRANC DE LES PEDRALETES"
28266,"Tram de_( BARRANC DE LES PEDRALETES )"
28267,"Tram de_( BARRANC DE LES PEDRALETES )"
28268,"Tram de_( BARRANC DE LES PEDRALETES )"
28269,"Tram de_( BARRANC DE LES PEDRALETES )"
28270,"Tram de_( SIN NOMBRE )"
28271,"Tram de_( BARRANC DE LES PEDRALETES )"
28272,"BARRANC DE LA RIERA"
28273,"Tram de_( BARRANC DE LA RIERA )"
28274,"Tram de_( BARRANC DE LA RIERA )"
28276,"BARRANC DE LA ROJA"
28277,"BARRANC DE ROCA BLANCA"
28278,"Tram de_( BARRANC DE ROCA BLANCA )"
28279,"Tram de_( BARRANC DE LA ROJA )"
28280,"BARRANC DE LA CAPARELLA"
28281,"Tram de_( BARRANC DE LA CAPARELLA )"
28282,"Tram de_( BARRANC DE LA CAPARELLA )"
28283,"Tram de_( BARRANC DE LA CAPARELLA )"
28284,"Tram de_( BARRANC DE LA ROJA )"
28296,"BARRANC DEL CLOT D'EN PASTOR"
28297,"BARRANC DE LA VICTORIA O DE LA GRANADA"
28298,"Tram de_( BARRANC DE LA VICTORIA O DE LA GRANADA )"
28300,"Tram de_( BARRANC DE LA VICTORIA O DE LA GRANADA )"
28301,"Tram de_( BARRANC DEL CLOT D'EN PASTOR )"
28302,"BARRANC DEL GRANADES O DE LA COVA D'EN CANADER"
28304,"BARRANC DE VALLPLANA"
28305,"Tram de_( BARRANC DE VALLPLANA )"
28307,"Tram de_( BARRANC DEL GRANADES O DE LA COVA D'EN CANADER )"
28309,"Tram de_( BARRANC DE LA RIERA )"
28312,"Tram de_( BARRANC DE LA RIERA )"
28315,"Tram de_( BARRANC DE LA RIERA )"
28316,"Tram de_( BARRANC DE LA RIERA )"
28317,"BARRANC DE SANTA EULARIA"
28318,"Tram de_( BARRANC DE SANTA EULARIA )"
28322,"BARRANC DE QUIQUET"
28323,"Tram de_( BARRANC DE QUIQUET )"
28324,"Tram de_( BARRANC DE QUIQUET )"
28325,"BARRANC D'ESCALERS"
28326,"Tram de_( BARRANC D'ESCALERS )"
28327,"BARRANC DE L'AURETA"
28328,"Tram de_( BARRANC DE L'AURETA )"
28329,"Tram de_( BARRANC DE L'AURETA )"
28330,"BARRANC DELS FOGASSOS"
28331,"Tram de_( BARRANC DELS FOGASSOS )"
28332,"Tram de_( BARRANC DELS FOGASSOS )"
28337,"BARRANC DELS COMUNS"
28338,"Tram de_( BARRANC DELS COMUNS )"
28341,"BARRANC DE NORIA"
28342,"Tram de_( BARRANC DE NORIA )"
28343,"Tram de_( BARRANC DE NORIA )"
28344,"BARRANC DE LO LIGALLO"
28346,"Tram de_( BARRANC DE LO LIGALLO )"
28347,"BARRANC DE COLLENTORT"
28348,"Tram de_( BARRANC DE COLLENTORT )"
28349,"Tram de_( RIO EBRO )"
28358,"BARRANC FONDO"
28359,"Tram de_( BARRANC FONDO )"
28360,"Tram de_( BARRANC FONDO )"
28362,"BARRANC DE PINVER"
28363,"Tram de_( BARRANC DE PINVER )"
28365,"RIU SEC"
28366,"Tram de_( RIU SEC )"
28368,"Tram de_( RIU SEC )"
28369,"Tram de_( RIU SEC )"
28370,"Tram de_( SIN NOMBRE )"
28371,"BARRANC DE LA TORRE"
28372,"Tram de_( BARRANC DE LA TORRE )"
28373,"Tram de_( RIU SEC )"
28374,"Tram de_( RIU SEC )"
28375,"Tram de_( RIU SEC )"
28376,"Tram de_( RIU SEC )"
28377,"Tram de_( RIU SEC )"
28378,"Tram de_( SIN NOMBRE )"
28379,"Tram de_( RIU SEC )"
28383,"BARRANC DE SANT VICENT"
28384,"Tram de_( BARRANC DE SANT VICENT )"
28385,"Tram de_( BARRANC DE SANT VICENT )"
28387,"Tram de_( BARRANC DE SANT VICENT )"
28388,"Tram de_( RIU SEC )"
28390,"Tram de_( RIU SEC )"
28391,"Tram de_( RIU SEC )"
28392,"Tram de_( SIN NOMBRE )"
28394,"Tram de_( RIU SEC )"
28395,"BARRANC DE LES VILAVERD"
28396,"Tram de_( BARRANC DE LES VILAVERD )"
28397,"Tram de_( RIU SEC )"
28398,"VAL DE L'AUBATAR"
28399,"VALL DELS ROSSECS"
28400,"Tram de_( VALL DELS ROSSECS )"
28401,"Tram de_( VAL DE L'AUBATAR )"
28402,"Tram de_( VAL DE L'AUBATAR )"
28403,"Tram de_( VAL DE L'AUBATAR )"
28404,"Tram de_( VAL DE L'AUBATAR )"
28414,"Tram de_( RIO EBRO )"
28416,"BARRANC DE MANOU O D' ATAROSSES"
28417,"Tram de_( BARRANC DE MANOU O D' ATAROSSES )"
28418,"Tram de_( SIN NOMBRE )"
28419,"Tram de_( BARRANC DE MANOU O D' ATAROSSES )"
28424,"BARRANC DEL MAS DE IARO"
